case,cavities,material_type,molde_area,costs,complexity,subcontracting,num_peca,start_timestamp,time:timestamp,activity,org:resource
3047,2,PC-29,Automovel,152000,3,0,900,2018-07-17 16:49:27,2018-07-17 17:00:51,Trabalho Interno,User 70
3047,2,PC-29,Automovel,152000,3,0,900,2018-07-17 18:54:40,2018-07-17 19:03:57,Bancada,User 118
3047,2,PC-29,Automovel,152000,3,0,900,2018-07-18 08:08:48,2018-07-18 12:21:56,Preliminares,User 70
3047,2,PC-29,Automovel,152000,3,0,900,2018-07-18 09:17:19,2018-07-18 12:35:47,Bancada,User 118
3047,2,PC-29,Automovel,152000,3,0,900,2018-07-18 13:35:49,2018-07-18 14:06:12,Preliminares,User 70
3047,2,PC-29,Automovel,152000,3,0,900,2018-07-18 13:36:00,2018-07-18 20:05:57,Bancada,User 118
3047,2,PC-29,Automovel,152000,3,0,900,2018-07-19 09:55:56,2018-08-27 05:14:35,Trabalho Interno,User 70
3047,2,PC-29,Automovel,152000,3,0,900,2018-07-20 10:56:39,2018-07-20 10:56:41,Estrutura,User 70
3047,2,PC-29,Automovel,152000,3,0,900,2018-07-21 07:06:26,2018-08-29 09:04:29,Bancada,User 118
3047,2,PC-29,Automovel,152000,3,0,900,2018-08-06 08:05:08,2018-09-14 12:59:28,Preliminares,User 70
3047,2,PC-29,Automovel,152000,3,0,900,2018-08-31 15:43:06,2018-08-31 17:01:01,Trabalho Interno,User 70
3047,2,PC-29,Automovel,152000,3,0,900,2018-09-03 11:25:30,2018-10-13 03:25:26,Preliminares,User 70
3047,2,PC-29,Automovel,152000,3,0,900,2018-09-10 12:03:57,2018-10-20 13:03:33,Bancada,User 118
3047,2,PC-29,Automovel,152000,3,0,900,2018-09-14 08:13:09,2018-09-14 12:10:24,Torno,User 51
3047,2,PC-29,Automovel,152000,3,0,900,2018-09-15 07:05:59,2018-10-26 01:22:28,Bancada,User 118
3047,2,PC-29,Automovel,152000,3,0,900,2018-10-30 09:05:26,2018-10-30 11:26:27,Estrutura,User 25
3047,2,PC-29,Automovel,152000,3,0,900,2018-11-06 17:26:40,2018-11-06 18:50:27,Trabalho Interno,User 25
3047,2,PC-29,Automovel,152000,3,0,900,2018-11-12 10:12:48,2018-12-24 07:12:42,Bancada,User 15
3047,2,PC-29,Automovel,152000,3,0,201,2018-02-06 14:10:05,2018-02-06 15:32:05,Fresagem,User 74
3047,2,PC-29,Automovel,152000,3,0,201,2018-03-01 01:31:58,2018-03-04 23:19:46,Maquinacao,User 80
3047,2,PC-29,Automovel,152000,3,0,201,2018-03-12 15:02:08,2018-03-16 16:40:24,Polimento,User 13
3047,2,PC-29,Automovel,152000,3,0,201,2018-03-19 23:03:18,2018-03-20 00:44:43,Maquinacao,User 36
3047,2,PC-29,Automovel,152000,3,0,201,2018-03-21 11:32:58,2018-03-25 16:33:09,Fresagem,User 71
3047,2,PC-29,Automovel,152000,3,0,201,2018-03-23 12:06:24,2018-03-27 20:54:44,Bancada,User 106
3047,2,PC-29,Automovel,152000,3,0,201,2018-07-16 09:55:53,2018-07-16 10:20:14,Polimento,User 13
3047,2,PC-29,Automovel,152000,3,0,100,2018-02-23 03:33:24,2018-02-23 14:53:38,Maquinacao,User 46
3047,2,PC-29,Automovel,152000,3,0,100,2018-02-27 11:22:07,2018-02-27 12:11:02,Maquinacao de Eletrodos,User 42
3047,2,PC-29,Automovel,152000,3,0,100,2018-02-27 17:29:11,2018-02-28 10:22:25,Erosao,No User
3047,2,PC-29,Automovel,152000,3,0,100,2018-03-05 11:54:16,2018-03-06 11:28:46,Polimento,User 13
3047,2,PC-29,Automovel,152000,3,0,100,2018-04-04 17:30:55,2018-04-05 18:56:28,Fresagem,User 71
